team	group	games_played	points	confederation
Mexico	A	1	3	CONCACAF
South Korea	A	1	3	AFC
Czech Republic	A	1	0	UEFA
South Africa	A	1	0	CAF
Switzerland	B	1	1	UEFA
Canada	B	1	1	CONCACAF
Qatar	B	1	1	AFC
Bosnia and Herzegovina	B	1	1	UEFA
Scotland	C	1	3	UEFA
Morocco	C	1	1	CAF
Brazil	C	1	1	CONMEBOL
Haiti	C	1	0	CONCACAF
United States	D	1	3	CONCACAF
Australia	D	1	3	AFC
Turkey	D	1	0	UEFA
Paraguay	D	1	0	CONMEBOL
Germany	E	1	3	UEFA
Ivory Coast	E	1	3	CAF
Ecuador	E	1	0	CONMEBOL
Curacao	E	1	0	CONCACAF
Sweden	F	1	3	UEFA
Japan	F	1	1	AFC
Netherlands	F	1	1	UEFA
Tunisia	F	1	0	CAF
New Zealand	G	1	1	OFC
Iran	G	1	1	AFC
Belgium	G	1	1	UEFA
Egypt	G	1	1	CAF
Uruguay	H	1	1	CONMEBOL
Saudi Arabia	H	1	1	AFC
Spain	H	1	1	UEFA
Cape Verde	H	1	1	CAF
